Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,1,1.000,AlariodelRio
0.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,1.250,AlariodelRio
1,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,1,1.500,AlariodelRio
1.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,1,1.750,AlariodelRio
2,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,2.000,AlariodelRio
2.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,2.250,AlariodelRio
3,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,1,2.500,AlariodelRio
3.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,2.750,AlariodelRio
4,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,1,3.000,AlariodelRio
4.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,1,3.250,AlariodelRio
5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,3.500,AlariodelRio
5.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,1,3.750,AlariodelRio
6,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,2,1.000,AlariodelRio
6.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,2,1.250,AlariodelRio
7,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,2,1.500,AlariodelRio
7.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,2,1.750,AlariodelRio
8,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,2,2.000,AlariodelRio
8.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,2,2.250,AlariodelRio
9,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,2,2.500,AlariodelRio
