Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,beatNumber,Composer,File
0,<music21.chord.Chord B3>,[0],[11],1,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
0.5,<music21.chord.Chord B3>,[0],[11],1,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
1.25,<music21.chord.Chord B3>,[0],[11],1,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
1.5,<music21.chord.Chord B3>,[0],[11],1,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
2.25,<music21.chord.Chord B3>,[0],[11],1,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
2.5,<music21.chord.Chord B3>,[0],[11],2,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
3,<music21.chord.Chord B3>,[0],[11],2,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
3.75,<music21.chord.Chord B3>,[0],[11],2,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
4,<music21.chord.Chord F4 G#4 B3>,"[0, 3, 6]","[5, 8, 11]",2,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
4.666666667,<music21.chord.Chord F4 G#4>,"[0, 3]","[5, 8]",2,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
4.75,<music21.chord.Chord F4 G#4 B3>,"[0, 3, 6]","[5, 8, 11]",2,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
5,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",3,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
5.5,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",3,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
6.25,<music21.chord.Chord E4 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",3,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
6.5,<music21.chord.Chord E-4 B4 B3>,"[0, 4]","[11, 3]",3,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
7.25,<music21.chord.Chord E-4 G4 B3>,"[0, 4, 8]","[3, 7, 11]",3,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
7.5,<music21.chord.Chord E4 G#4 B3>,"[0, 4, 7]","[4, 8, 11]",4,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
8,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",4,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
8.75,<music21.chord.Chord E5 G#5 B3>,"[0, 4, 7]","[4, 8, 11]",4,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
9,<music21.chord.Chord E-5 F#5 B3>,"[0, 4, 7]","[11, 3, 6]",4,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
9.75,<music21.chord.Chord C#5 E5 B3>,"[0, 2, 5]","[11, 1, 4]",4,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
10,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
10.125,<music21.chord.Chord E5 B4 B3>,"[0, 5]","[11, 4]",5,1.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
10.25,<music21.chord.Chord B4 B3>,[0],[11],5,1.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
10.33333333,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,1.666666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
10.45833333,<music21.chord.Chord B4 B3>,[0],[11],5,1.916666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
10.5,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",5,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
11.25,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
11.5,<music21.chord.Chord E5 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",5,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
12.25,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",5,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
12.5,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",6,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
13,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",6,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
13.66666667,<music21.chord.Chord G#4 B4 E3>,"[0, 4, 7]","[4, 8, 11]",6,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
13.75,<music21.chord.Chord G#4 B4 E4 E3>,"[0, 4, 7]","[4, 8, 11]",6,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
13.875,<music21.chord.Chord E4 E3>,[0],[4],6,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
14,<music21.chord.Chord E-4 E3>,"[0, 1]","[3, 4]",6,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
14.66666667,<music21.chord.Chord E3>,[0],[4],6,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
14.75,<music21.chord.Chord D4>,[0],[2],6,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
