Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,Measure Count,Composer
0,<music21.chord.Chord G-1>,[0],[7],,,Alkan
5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
6,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,,Alkan
7,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
8,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
9.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,,Alkan
10,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
11,<music21.chord.Chord G-1>,[0],[7],,,Alkan
13,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
14,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
15,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
16,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
17.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
18,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
19,<music21.chord.Chord G-1>,[0],[7],,,Alkan
23,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
23.75,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
24,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
24.5,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
25,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
25.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
26,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
26.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
27,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,,Alkan
27.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,,Alkan
28,<music21.chord.Chord B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
29,<music21.chord.Chord E3 G-1>,"[0, 3]","[4, 7]",,,Alkan
30,<music21.chord.Chord F#3 G-1>,"[0, 1]","[6, 7]",,,Alkan
31,<music21.chord.Chord F#3 F#2 G-1>,"[0, 1]","[6, 7]",,,Alkan
32,<music21.chord.Chord F#3 B2 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
35,<music21.chord.Chord G-1>,[0],[7],,,Alkan
37,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
38,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,,Alkan
39,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
40,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
41.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,,Alkan
42,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
43,<music21.chord.Chord G-1>,[0],[7],,,Alkan
43.75,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
44,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
45,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
46,<music21.chord.Chord B4 F#4 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
47,<music21.chord.Chord B4 A4 G-1>,"[0, 2, 4]","[7, 9, 11]",,,Alkan
48,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
49.5,<music21.chord.Chord B4 E4 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
50,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
51,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
51.75,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
52,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
53,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
54,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
55,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
55.75,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
56,<music21.chord.Chord E5 A4 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
56.5,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
57,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
57.5,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
58,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
58.5,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
59,<music21.chord.Chord E5 E-4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
59.5,<music21.chord.Chord E5 C#4 G-1>,"[0, 3, 6]","[1, 4, 7]",,,Alkan
59.75,<music21.chord.Chord F#5 C#4 G-1>,"[0, 5, 6]","[1, 6, 7]",,,Alkan
60,<music21.chord.Chord A5 B3 G-1>,"[0, 2, 4]","[7, 9, 11]",,,Alkan
60.5,<music21.chord.Chord G#5 B3 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
61,<music21.chord.Chord F#5 E3 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
61.5,<music21.chord.Chord E5 E3 G-1>,"[0, 3]","[4, 7]",,,Alkan
62,<music21.chord.Chord F#5 F#3 G-1>,"[0, 1]","[6, 7]",,,Alkan
62.5,<music21.chord.Chord E5 F#3 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
63,<music21.chord.Chord E-5 F#3 F#2 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
63.5,<music21.chord.Chord C#5 F#3 G-1 F#2>,"[0, 5, 6]","[1, 6, 7]",,,Alkan
64,<music21.chord.Chord B4 F#3 B2 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
67,<music21.chord.Chord B4 B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
67.5,<music21.chord.Chord C#5 B3 G-1>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
67.75,<music21.chord.Chord C#5 G#3 G-1>,"[0, 1, 6]","[7, 8, 1]",,,Alkan
68,<music21.chord.Chord E-5 F3 G-1>,"[0, 2, 4]","[3, 5, 7]",,,Alkan
68.5,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
69,<music21.chord.Chord G#4 F3 G-1>,"[0, 2, 3]","[5, 7, 8]",,,Alkan
69.5,<music21.chord.Chord C#5 G#4 F3 G-1>,"[0, 4, 6, 7]","[1, 5, 7, 8]",,,Alkan
70,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
71,<music21.chord.Chord B-4 F3 G-1>,"[0, 2, 5]","[5, 7, 10]",,,Alkan
72,<music21.chord.Chord B-4 G#3 G-1>,"[0, 1, 3]","[7, 8, 10]",,,Alkan
73.5,<music21.chord.Chord B-4 G3 G-1>,"[0, 3]","[7, 10]",,,Alkan
74,<music21.chord.Chord B4 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
75,<music21.chord.Chord E4 A3 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
75.75,<music21.chord.Chord G#4 F#3 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
76,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
77,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
78,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
79,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
80,<music21.chord.Chord B4 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
81.5,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
82,<music21.chord.Chord B4 E3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
83,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
83.75,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
84,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
85,<music21.chord.Chord E5 E-4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
86,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
87,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
88,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
89,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
90,<music21.chord.Chord E5 A4 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
91,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
91.75,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
91.875,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
92,<music21.chord.Chord A5 G-1>,"[0, 2]","[7, 9]",,,Alkan
92.5,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
93,<music21.chord.Chord F#5 A3 G-1>,"[0, 1, 3]","[6, 7, 9]",,,Alkan
93.5,<music21.chord.Chord E5 A3 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
94,<music21.chord.Chord F#5 B3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
94.5,<music21.chord.Chord E5 B3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
95,<music21.chord.Chord E-5 B3 B2 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
95.5,<music21.chord.Chord C#5 B3 G-1 B2>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
96,<music21.chord.Chord B3 E3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
97,<music21.chord.Chord B4 B3 G-1 E3>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
