Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,1.000
0.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,1.500
1,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,2.000
1.5,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,2.500
2,<music21.chord.Chord D3 G3 B-3 E-4 G5>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,1,3.000
2.5,<music21.chord.Chord D3 G3 B-3 E-4 E-5>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,1,3.500
3,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,2,1.000
4,<music21.chord.Chord D1 D5>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,2,2.000
4.5,<music21.chord.Chord D1>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,2,2.500
5,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,1.000
5.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,1.500
6,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,2.000
6.25,<music21.chord.Chord D3 F3 A3 D4 G5>,"[0, 3, 5, 7]","[2, 5, 7, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,2.250
6.5,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,2.500
