Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
1.25,<music21.chord.Chord B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
1.5,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
2,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
2.75,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
3,<music21.chord.Chord B4 B3 A4>,"[0, 2]","[9, 11]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
3.75,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
4,<music21.chord.Chord C#5 B4 B3 G4>,"[0, 4, 6]","[7, 11, 1]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
4.75,<music21.chord.Chord C#5 B4 G4>,"[0, 4, 6]","[7, 11, 1]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
5,<music21.chord.Chord B4 D5 B3 F#4>,"[0, 3, 7]","[11, 2, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
5.625,<music21.chord.Chord B4 D5 F#4>,"[0, 3, 7]","[11, 2, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
5.75,<music21.chord.Chord F#4>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
6,<music21.chord.Chord A4 E-5 B3 F4>,"[0, 2, 6, 8]","[3, 5, 9, 11]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
7.25,<music21.chord.Chord A4 E-5 F4>,"[0, 2, 6]","[3, 5, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
7.375,<music21.chord.Chord F4>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
7.5,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
8,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
9,<music21.chord.Chord B4 B3>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
11.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
12,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
13,<music21.chord.Chord E-5 B3 G#3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
13.25,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
14,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
14.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
15,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
15.5,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
16,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
16.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
17,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
17.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
17.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
18,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
19,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
19.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
20,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
20.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
21,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
21.125,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
21.5,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
22,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
22.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
23,<music21.chord.Chord C#5 B3 E-4>,"[0, 2, 4]","[11, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
23.125,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
23.5,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
24,<music21.chord.Chord E-5 E3>,"[0, 1]","[3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
25,<music21.chord.Chord E-5 G#3 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
25.125,<music21.chord.Chord E-5>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
25.5,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
26,<music21.chord.Chord B4 G#3 B3>,"[0, 3]","[8, 11]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
26.125,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
27,<music21.chord.Chord E-5 F3>,"[0, 2]","[3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
28,<music21.chord.Chord B4 B3 E-4>,"[0, 4]","[11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
28.125,<music21.chord.Chord B4>,[0],[11],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
29,<music21.chord.Chord G#4 E-4 B3>,"[0, 3, 7]","[8, 11, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
29.125,<music21.chord.Chord G#4>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
30,<music21.chord.Chord C#5 A3>,"[0, 4]","[9, 1]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
31,<music21.chord.Chord C#5 C#4 E-4>,"[0, 2]","[1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
31.25,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
32,<music21.chord.Chord C#5 E4 C#4>,"[0, 3]","[1, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
32.375,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
33,<music21.chord.Chord C#5 C#4 F4>,"[0, 4]","[1, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
33.375,<music21.chord.Chord C#5>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
