measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
1,1.000,0,<music21.chord.Chord D2 F#2 A2 F3 A3 C4 E4>,"[0, 3, 5, 7, 8, 9]","[9, 0, 2, 4, 5, 6]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,2.500,1.5,<music21.chord.Chord D2 F#2 A2 F3 A3 C4 E4>,"[0, 3, 5, 7, 8, 9]","[9, 0, 2, 4, 5, 6]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,3.000,2,<music21.chord.Chord E2 G#2 B2 E3 G3 B3 D4>,"[0, 3, 5, 8, 9]","[11, 2, 4, 7, 8]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.000,4,<music21.chord.Chord C1 C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.125,4.125,<music21.chord.Chord E1 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.250,4.25,<music21.chord.Chord G1 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.375,4.375,<music21.chord.Chord B1 B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.500,4.5,<music21.chord.Chord C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.625,4.625,<music21.chord.Chord E2 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.750,4.75,<music21.chord.Chord G2 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5.875,4.875,<music21.chord.Chord B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.000,5,<music21.chord.Chord C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.125,5.125,<music21.chord.Chord E2 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.250,5.25,<music21.chord.Chord G2 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.375,5.375,<music21.chord.Chord B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.500,5.5,<music21.chord.Chord B2 C3>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.625,5.625,<music21.chord.Chord B2 E3>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.750,5.75,<music21.chord.Chord B2 G3>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6.875,5.875,<music21.chord.Chord B2 B3>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7.000,6,<music21.chord.Chord B2 C3>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7.125,6.125,<music21.chord.Chord B2 E3>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7.250,6.25,<music21.chord.Chord B2 G3>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7.375,6.375,<music21.chord.Chord B2 B3>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7.500,6.5,<music21.chord.Chord B2 C4>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
