Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
1,<music21.chord.Chord E4 E3>,[0],[4],Ogives No3 D minor.mid,Satie,,
2,<music21.chord.Chord F4 F3>,[0],[5],Ogives No3 D minor.mid,Satie,,
4,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
5,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,,
7,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,,
7.5,<music21.chord.Chord B-3 B-2>,[0],[10],Ogives No3 D minor.mid,Satie,,
8,<music21.chord.Chord G3 G2>,[0],[7],Ogives No3 D minor.mid,Satie,,
8.5,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,,
9,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,,
11,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
12,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,,
14,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,,
14.5,<music21.chord.Chord B-3 B-2>,[0],[10],Ogives No3 D minor.mid,Satie,,
15,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,,
15.5,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
16,<music21.chord.Chord E4 E3>,[0],[4],Ogives No3 D minor.mid,Satie,,
18,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
19,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,,
20,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,,
24,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
25,<music21.chord.Chord E5 A5 C6 E6 E3 A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
26,<music21.chord.Chord F5 A5 C6 F6 F3 A3 C4 F4>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
28,<music21.chord.Chord D5 F5 B-5 D6 D3 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
29,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
31,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
31.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
32,<music21.chord.Chord G4 B-4 E-5 G5 G2 B-2 E-3 G3>,"[0, 4, 7]","[3, 7, 10]",Ogives No3 D minor.mid,Satie,,
32.5,<music21.chord.Chord A4 D5 F5 A5 A2 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
33,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
35,<music21.chord.Chord D5 F5 B-5 D6 D3 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
36,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
38,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
38.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
39,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
39.5,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
40,<music21.chord.Chord E5 A5 C6 E6 E3 A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
42,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
43,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
44,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
48,<music21.chord.Chord F4 A4 D5 A3 D3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
49,<music21.chord.Chord A4 C5 E5 C4 A2 E3>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
50,<music21.chord.Chord A4 C5 F5 A3 F2 C3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
52,<music21.chord.Chord F4 B-4 D5 F3 B-2>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
53,<music21.chord.Chord E4 G4 C5 G3 C3>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
55,<music21.chord.Chord C4 F4 A4 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
55.5,<music21.chord.Chord D4 F4 B-4 B-2 F3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
56,<music21.chord.Chord B-3 E-4 G4 E-3 G3>,"[0, 4, 7]","[3, 7, 10]",Ogives No3 D minor.mid,Satie,,
56.5,<music21.chord.Chord D4 F4 A4 D3 A3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
57,<music21.chord.Chord E4 G4 C5 C3 G3>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
59,<music21.chord.Chord G4 B-4 D5 G2 D3 G3>,"[0, 3, 7]","[7, 10, 2]",Ogives No3 D minor.mid,Satie,,
60,<music21.chord.Chord E4 G4 C5 C3 G3>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
62,<music21.chord.Chord C4 F4 A4 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
62.5,<music21.chord.Chord D4 F4 B-4 F3 B-2>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
63,<music21.chord.Chord E4 A4 C5 C4 A2 E3>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
63.5,<music21.chord.Chord F4 A4 D5 A3 D3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
64,<music21.chord.Chord A4 C5 E5 C4 A2 E3>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
66,<music21.chord.Chord F4 A4 D5 A3 D3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
67,<music21.chord.Chord E4 A4 C5 C4 A2 E3>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
68,<music21.chord.Chord F4 A4 D5 D3 A3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
72,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
73,<music21.chord.Chord E5 A5 C6 E6 E3 A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
74,<music21.chord.Chord F5 A5 C6 F6 F3 A3 C4 F4>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
76,<music21.chord.Chord D5 F5 B-5 D6 D3 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
77,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
79,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
79.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
80,<music21.chord.Chord G4 B-4 E-5 G5 G2 B-2 E-3 G3>,"[0, 4, 7]","[3, 7, 10]",Ogives No3 D minor.mid,Satie,,
80.5,<music21.chord.Chord A4 D5 F5 A5 A2 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
81,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
83,<music21.chord.Chord D5 F5 B-5 D6 D3 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
84,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,,
86,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,,
86.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,,
87,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
87.5,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
88,<music21.chord.Chord E5 A5 C6 E6 E3 A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
90,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
91,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,,
92,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,,
