Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,MeasureCount
1,<music21.chord.Chord C7 C3 G3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1
1.125,<music21.chord.Chord E6 C3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.125
1.25,<music21.chord.Chord C3 G3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.25
1.333333333,<music21.chord.Chord C6 C3 G3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.333333333
1.458333333,<music21.chord.Chord C3 G3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.458333333
1.5,<music21.chord.Chord C6 C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.5
1.625,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.625
1.666666667,<music21.chord.Chord G6 C1 C2>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.666666667
1.791666667,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.791666667
1.875,<music21.chord.Chord G5 C1 C2>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,1.875
2,<music21.chord.Chord C6>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2
2.125,<music21.chord.Chord E5>,[0],[4],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.125
2.333333333,<music21.chord.Chord C5>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.333333333
2.5,<music21.chord.Chord C5 C3 C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.5
2.625,<music21.chord.Chord C3 C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.625
2.666666667,<music21.chord.Chord G5 C3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.666666667
2.791666667,<music21.chord.Chord C3 C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.791666667
2.875,<music21.chord.Chord G4 C3 C4>,"[0, 5]","[7, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,2.875
3,<music21.chord.Chord C5 C3 C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,3
3.125,<music21.chord.Chord E4 C3 C4>,"[0, 4]","[0, 4]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.125
3.25,<music21.chord.Chord C3 C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.25
3.333333333,<music21.chord.Chord C4 B2 B3 C3>,"[0, 1]","[11, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.333333333
3.375,<music21.chord.Chord C4 B2 B3>,"[0, 1]","[11, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.375
3.458333333,<music21.chord.Chord B2 B3>,[0],[11],Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.458333333
3.5,<music21.chord.Chord C4 B2 B3>,"[0, 1]","[11, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.5
3.625,<music21.chord.Chord B2 B3>,[0],[11],Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.625
3.666666667,<music21.chord.Chord G4 B-2 B-3>,"[0, 3]","[7, 10]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.666666667
3.791666667,<music21.chord.Chord B-2 B-3>,[0],[10],Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.791666667
3.875,<music21.chord.Chord G3 B-2 B-3>,"[0, 3]","[7, 10]",Seven Preludes Op17No5 F minor.mid,Scriabin,1,3.875
4,<music21.chord.Chord C7 G#2 C#3 G#3>,"[0, 4, 5]","[8, 0, 1]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1
4.125,<music21.chord.Chord F6 G#2 C#3 G#3>,"[0, 4, 7]","[1, 5, 8]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.125
4.25,<music21.chord.Chord G#2 C#3 G#3>,"[0, 5]","[8, 1]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.25
4.333333333,<music21.chord.Chord C6 G#2 C#3 G#3>,"[0, 4, 5]","[8, 0, 1]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.333333333
4.458333333,<music21.chord.Chord G#2 C#3 G#3>,"[0, 5]","[8, 1]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.458333333
4.5,<music21.chord.Chord C#6 C1 C2>,"[0, 1]","[0, 1]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.5
4.625,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.625
4.666666667,<music21.chord.Chord G#6 C1 C2>,"[0, 4]","[8, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.666666667
4.791666667,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.791666667
4.875,<music21.chord.Chord G#5 C1 C2>,"[0, 4]","[8, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,2,1.875
5,<music21.chord.Chord C6>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2
5.125,<music21.chord.Chord F5>,[0],[5],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2.125
5.333333333,<music21.chord.Chord C5>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2.333333333
5.5,<music21.chord.Chord C#5>,[0],[1],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2.5
5.666666667,<music21.chord.Chord G#5>,[0],[8],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2.666666667
5.875,<music21.chord.Chord G#4>,[0],[8],Seven Preludes Op17No5 F minor.mid,Scriabin,2,2.875
6,<music21.chord.Chord C5>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3
6.125,<music21.chord.Chord F4>,[0],[5],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3.125
6.333333333,<music21.chord.Chord C4>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3.333333333
6.5,<music21.chord.Chord C#4>,[0],[1],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3.5
6.666666667,<music21.chord.Chord G#4>,[0],[8],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3.666666667
6.875,<music21.chord.Chord G#3>,[0],[8],Seven Preludes Op17No5 F minor.mid,Scriabin,2,3.875
7,<music21.chord.Chord F7 F3 C4 F4>,"[0, 5]","[0, 5]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1
7.125,<music21.chord.Chord A6 F3 C4 F4>,"[0, 4, 7]","[5, 9, 0]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.125
7.25,<music21.chord.Chord F3 C4 F4>,"[0, 5]","[0, 5]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.25
7.333333333,<music21.chord.Chord F6 F3 C4 F4>,"[0, 5]","[0, 5]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.333333333
7.458333333,<music21.chord.Chord F3 C4 F4>,"[0, 5]","[0, 5]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.458333333
7.5,<music21.chord.Chord F6 C1 C2>,"[0, 5]","[0, 5]",Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.5
7.625,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.625
7.666666667,<music21.chord.Chord C7 C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.666666667
7.791666667,<music21.chord.Chord C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.791666667
7.875,<music21.chord.Chord C6 C1 C2>,[0],[0],Seven Preludes Op17No5 F minor.mid,Scriabin,3,1.875
8,<music21.chord.Chord F6>,[0],[5],Seven Preludes Op17No5 F minor.mid,Scriabin,3,2
8.125,<music21.chord.Chord A5>,[0],[9],Seven Preludes Op17No5 F minor.mid,Scriabin,3,2.125
8.333333333,<music21.chord.Chord F5>,[0],[5],Seven Preludes Op17No5 F minor.mid,Scriabin,3,2.333333333
8.5,<music21.chord.Chord F5 F3 F4>,[0],[5],Seven Preludes Op17No5 F minor.mid,Scriabin,3,2.5
