measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
0,2.667,0,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1.000,0.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1.500,1.25,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1.667,1.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2.000,2,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2.500,2.75,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2.667,3,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,1.000,3.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,1.333,4,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,2.000,5,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,2.667,6,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1.000,6.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1.500,7.25,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1.667,7.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
