Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
1,<music21.chord.Chord G4>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,1,3.000
1.5,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,2,1.000
2.5,<music21.chord.Chord G3 G4>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,2,3.000
3,<music21.chord.Chord G3 D4 E-4 G4 E-5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,3,1.000
4,<music21.chord.Chord G3 D4 E-4 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,3,3.000
4.5,<music21.chord.Chord A3 D4 E-4 A4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,4,1.000
5.5,<music21.chord.Chord A3 D4 E-4 G4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,4,3.000
6,<music21.chord.Chord C3 G3 C#4 D4 G4 C5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,1.000
7,<music21.chord.Chord D2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,3.000
7.25,<music21.chord.Chord G2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,3.500
7.5,<music21.chord.Chord G#3 A3 D4 D5>,"[0, 1, 6]","[8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,6,1.000
8.5,<music21.chord.Chord G#3 A3 A4>,"[0, 1]","[8, 9]",Takemitsu_Romance.mxl,Takemitsu,6,3.000
9,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,7,1.000
10,<music21.chord.Chord D3 E-3 G3 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,7,3.000
10.5,<music21.chord.Chord D3 E-3 A3 C4 D4 G4 E-5>,"[0, 2, 5, 7, 8]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,8,1.000
11.5,<music21.chord.Chord D3 E-3 A3 C4 E-4>,"[0, 3, 5, 6]","[9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,8,3.000
12,<music21.chord.Chord E-3 G3 A3 D4 E-4 C5>,"[0, 2, 5, 7, 8]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,9,1.000
13,<music21.chord.Chord E-3 G3 A3 A4>,"[0, 4, 6]","[3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,9,3.000
13.5,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,10,1.000
14.5,<music21.chord.Chord D3 E-3 G3 B-4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Takemitsu_Romance.mxl,Takemitsu,10,3.000
15,<music21.chord.Chord D3 D5>,[0],[2],Takemitsu_Romance.mxl,Takemitsu,11,1.000
15.25,<music21.chord.Chord E-3 D5>,"[0, 1]","[2, 3]",Takemitsu_Romance.mxl,Takemitsu,11,1.500
15.5,<music21.chord.Chord A3 C5>,"[0, 3]","[9, 0]",Takemitsu_Romance.mxl,Takemitsu,11,2.000
15.75,<music21.chord.Chord C4 C5>,[0],[0],Takemitsu_Romance.mxl,Takemitsu,11,2.500
16,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Takemitsu_Romance.mxl,Takemitsu,11,3.000
16.5,<music21.chord.Chord E-3 D4 A4>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,12,1.000
16.75,<music21.chord.Chord A3 D4 A4>,"[0, 5]","[9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,1.500
17,<music21.chord.Chord A3 D4 A4>,"[0, 5]","[9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,2.000
17.25,<music21.chord.Chord G3 D4 A4>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,2.500
17.5,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,12,3.000
18,<music21.chord.Chord G3 D4 A4>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,13,1.000
19,<music21.chord.Chord G3 C4>,"[0, 5]","[7, 0]",Takemitsu_Romance.mxl,Takemitsu,13,3.000
19.5,<music21.chord.Chord E-3 A3 C4 B-4>,"[0, 1, 3, 6]","[9, 10, 0, 3]",Takemitsu_Romance.mxl,Takemitsu,14,1.000
20,<music21.chord.Chord G3 C4 B-4>,"[0, 3, 5]","[7, 10, 0]",Takemitsu_Romance.mxl,Takemitsu,14,2.000
20.5,<music21.chord.Chord D3 B-3>,"[0, 4]","[10, 2]",Takemitsu_Romance.mxl,Takemitsu,14,3.000
21,<music21.chord.Chord C3 D3 A3 D4 G4 D5>,"[0, 2, 5, 7]","[7, 9, 0, 2]",Takemitsu_Romance.mxl,Takemitsu,15,1.000
22,<music21.chord.Chord D3 E-3 G3 A4 E-5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,15,3.000
22.5,<music21.chord.Chord D3 E-3 A3 G4 D5 G5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,16,1.000
23.25,<music21.chord.Chord E-2 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,2.500
23.33333333,<music21.chord.Chord A2 G4 D5 G5>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,16,2.667
23.41666667,<music21.chord.Chord E-3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,2.833
23.5,<music21.chord.Chord G3 A5 D6 G#6 A6>,"[0, 1, 2, 7]","[7, 8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,16,3.000
23.75,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,3.500
24,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,17,1.000
