Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord D-2>,[0],[1],Zhang_Mazurka.xml,Zhang,1,1.000
1,<music21.chord.Chord A-3 D-4 F4 F5>,"[0, 4, 7]","[1, 5, 8]",Zhang_Mazurka.xml,Zhang,1,2.000
2,<music21.chord.Chord A-3 D-4 F4 F5>,"[0, 4, 7]","[1, 5, 8]",Zhang_Mazurka.xml,Zhang,1,3.000
2.5,<music21.chord.Chord A-3 D-4 F4 E-5>,"[0, 2, 4, 7]","[1, 3, 5, 8]",Zhang_Mazurka.xml,Zhang,1,3.500
3,<music21.chord.Chord D-2 D-5>,[0],[1],Zhang_Mazurka.xml,Zhang,2,1.000
3.75,<music21.chord.Chord D-2 A4>,"[0, 4]","[9, 1]",Zhang_Mazurka.xml,Zhang,2,1.750
4,<music21.chord.Chord A3 D-4 F4 C5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Zhang_Mazurka.xml,Zhang,2,2.000
5,<music21.chord.Chord A3 D-4 F4 C5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Zhang_Mazurka.xml,Zhang,2,3.000
5.5,<music21.chord.Chord A3 D-4 F4 B-4>,"[0, 1, 4, 8]","[9, 10, 1, 5]",Zhang_Mazurka.xml,Zhang,2,3.500
6,<music21.chord.Chord D-3 B-4>,"[0, 3]","[10, 1]",Zhang_Mazurka.xml,Zhang,3,1.000
6.333333333,<music21.chord.Chord D-3 A4>,"[0, 4]","[9, 1]",Zhang_Mazurka.xml,Zhang,3,1.333
6.666666667,<music21.chord.Chord D-3 B-4>,"[0, 3]","[10, 1]",Zhang_Mazurka.xml,Zhang,3,1.667
7,<music21.chord.Chord B-3 D-4 F4 C5>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2.000
7.333333333,<music21.chord.Chord B-3 D-4 F4 D-5>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2.333
7.666666667,<music21.chord.Chord B-3 D-4 F4 F5>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2.667
8,<music21.chord.Chord B-3 D-4 F4 C6>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3.000
8.5,<music21.chord.Chord B-3 D-4 F4>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3.500
8.75,<music21.chord.Chord B-3 D-4 F4 C6>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3.750
9,<music21.chord.Chord D-2 C6>,"[0, 1]","[0, 1]",Zhang_Mazurka.xml,Zhang,4,1.000
9.75,<music21.chord.Chord D-2 F5>,"[0, 4]","[1, 5]",Zhang_Mazurka.xml,Zhang,4,1.750
10,<music21.chord.Chord C-4 D-4 F4 B-5>,"[0, 1, 3, 7]","[10, 11, 1, 5]",Zhang_Mazurka.xml,Zhang,4,2.000
10.75,<music21.chord.Chord C-4 D-4 F4 B--5>,"[0, 2, 4, 8]","[9, 11, 1, 5]",Zhang_Mazurka.xml,Zhang,4,2.750
11,<music21.chord.Chord C-4 D-4 F4 A-5>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Zhang_Mazurka.xml,Zhang,4,3.000
12,<music21.chord.Chord G-2 A-5>,"[0, 2]","[6, 8]",Zhang_Mazurka.xml,Zhang,5,1.000
12.75,<music21.chord.Chord G-2 A--5>,"[0, 1]","[6, 7]",Zhang_Mazurka.xml,Zhang,5,1.750
13,<music21.chord.Chord B-3 D-4 G-4 G-5>,"[0, 4, 7]","[6, 10, 1]",Zhang_Mazurka.xml,Zhang,5,2.000
14,<music21.chord.Chord B-3 D-4 G-4 D-5>,"[0, 4, 7]","[6, 10, 1]",Zhang_Mazurka.xml,Zhang,5,3.000
14.5,<music21.chord.Chord B-3 D-4 G-4 E-5>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Zhang_Mazurka.xml,Zhang,5,3.500
15,<music21.chord.Chord E-2 F5>,"[0, 2]","[3, 5]",Zhang_Mazurka.xml,Zhang,6,1.000
15.33333333,<music21.chord.Chord E-2 D-5>,"[0, 2]","[1, 3]",Zhang_Mazurka.xml,Zhang,6,1.333
15.66666667,<music21.chord.Chord E-2 B-4>,"[0, 5]","[10, 3]",Zhang_Mazurka.xml,Zhang,6,1.667
16,<music21.chord.Chord E-3 D-4 G-4>,"[0, 2, 5]","[1, 3, 6]",Zhang_Mazurka.xml,Zhang,6,2.000
