,Unnamed: 0,Chord,Composer,File,NormalForm,Offset,PCsInNormalForm,beatNumber,measureNumber,pieceNumber,pieceName,movementName,genre,publicationYear,Epoch,Source,fileFormat,phraseAnalysis,fileConversion,getChords,Common Names,Contains 7th,isExtended,extendedInd
18,18,<music21.chord.Chord G#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",9,"[4, 8]",2.5,2,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twentieth,FALSE,Not Extended Chord,0
20,20,<music21.chord.Chord G#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",10,"[4, 8]",3,2,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Thirteenth,FALSE,Not Extended Chord,0
22,22,<music21.chord.Chord F#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",11,"[4, 6]",3.5,2,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
26,26,<music21.chord.Chord F#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",14,"[4, 6]",2,3,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
28,28,<music21.chord.Chord C#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",15,"[1, 4]",2.5,3,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Seventeenth,FALSE,Not Extended Chord,0
30,30,<music21.chord.Chord D#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",16,"[3, 4]",3,3,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Sixteenth,FALSE,Extended Chord,1
32,32,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",17,"[11, 4]",3.5,3,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
34,34,<music21.chord.Chord F#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",18,"[4, 6]",1,4,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
38,38,<music21.chord.Chord G#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",20,"[4, 8]",2,4,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Thirteenth,FALSE,Not Extended Chord,0
42,42,<music21.chord.Chord E3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",22,"[4, 10]",3,4,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Augmented Eighteenth,FALSE,Not Extended Chord,0
44,44,<music21.chord.Chord G#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",23,"[8, 10]",3.5,4,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
48,48,<music21.chord.Chord E3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",25,"[4, 10]",1.5,5,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Augmented Eighteenth,FALSE,Not Extended Chord,0
50,50,<music21.chord.Chord G#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",26,"[8, 10]",2,5,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
54,54,<music21.chord.Chord G#2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",28,"[8, 10]",3,5,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major 23,FALSE,Extended Chord,1
56,56,<music21.chord.Chord G#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",29,"[8, 10]",3.5,5,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
58,58,<music21.chord.Chord F#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",30,"[6, 10]",1,6,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Not Extended Chord,0
61,61,<music21.chord.Chord F#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",33,"[6, 10]",2.5,6,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Not Extended Chord,0
63,63,<music21.chord.Chord C#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -9]",34,"[10, 1]",3,6,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twentieth,FALSE,Extended Chord,1
65,65,<music21.chord.Chord D#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",35,"[10, 3]",3.5,6,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Extended Chord,1
67,67,<music21.chord.Chord B2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",36,"[10, 11]",1,7,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twenty-first,FALSE,Extended Chord,1
69,69,<music21.chord.Chord F#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",37,"[6, 10]",1.5,7,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Not Extended Chord,0
71,71,<music21.chord.Chord E3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",38,"[4, 10]",2,7,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Augmented Eighteenth,FALSE,Not Extended Chord,0
75,75,<music21.chord.Chord A#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",40,"[8, 10]",3,7,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
77,77,<music21.chord.Chord E3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",41,"[4, 8]",3.5,7,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Not Extended Chord,0
81,81,<music21.chord.Chord A#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",43,"[8, 10]",1.5,8,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
83,83,<music21.chord.Chord E3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",44,"[4, 8]",2,8,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Not Extended Chord,0
87,87,<music21.chord.Chord A#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",46,"[8, 10]",3,8,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
93,93,<music21.chord.Chord F#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",49,"[6, 8]",1.5,9,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
97,97,<music21.chord.Chord F#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",52,"[6, 8]",3,9,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
99,99,<music21.chord.Chord C#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",53,"[8, 1]",3.5,9,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Extended Chord,1
101,101,<music21.chord.Chord D#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",54,"[3, 8]",1,10,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Not Extended Chord,0
127,127,<music21.chord.Chord B2 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -8]",76,"[11, 3]",3,13,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventeenth,FALSE,Extended Chord,1
129,129,<music21.chord.Chord F#3 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",77,"[3, 6]",3.5,13,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
133,133,<music21.chord.Chord F#3 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",80,"[3, 6]",2,14,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
135,135,<music21.chord.Chord C#3 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",81,"[1, 3]",2.5,14,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixteenth,FALSE,Extended Chord,1
137,137,<music21.chord.Chord G#2 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",82,"[3, 8]",3,14,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Not Extended Chord,0
139,139,<music21.chord.Chord G#3 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",83,"[3, 8]",3.5,14,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Twelfth,FALSE,Not Extended Chord,0
141,141,<music21.chord.Chord F#3 D#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",84,"[3, 6]",1,15,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
143,143,<music21.chord.Chord D#3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",85,"[1, 3]",1.5,15,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
145,145,<music21.chord.Chord E3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",86,"[1, 4]",2,15,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
149,149,<music21.chord.Chord E3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",89,"[1, 4]",3.5,15,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
151,151,<music21.chord.Chord D#3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",90,"[1, 3]",1,16,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
153,153,<music21.chord.Chord E3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",91,"[1, 4]",1.5,16,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
157,157,<music21.chord.Chord E3 C#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",94,"[1, 4]",3,16,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Thirteenth,FALSE,Not Extended Chord,0
